id,version_id,personal_id,name,status_magnifications,like_taste,dislike_taste,description
42,4,17,おとなしい,"1.0,1.0,0.9,1.0,1.1,1.0",にがい,すっぱい,D↑B↓
43,4,18,しんちょう,"1.0,1.0,1.0,0.9,1.1,1.0",にがい,しぶい,D↑C↓
44,4,19,きまぐれ,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
45,4,20,なまいき,"1.0,1.0,1.0,1.0,1.1,0.9",にがい,あまい,D↑S↓
46,4,21,おくびょう,"1.0,0.9,1.0,1.0,1.0,1.1",あまい,からい,S↑A↓
47,4,22,せっかち,"1.0,1.0,0.9,1.0,1.0,1.1",あまい,すっぱい,S↑B↓
48,4,23,ようき,"1.0,1.0,1.0,0.9,1.0,1.1",あまい,しぶい,S↑C↓
49,4,24,むじゃき,"1.0,1.0,1.0,1.0,0.9,1.1",あまい,にがい,S↑D↓
50,4,25,まじめ,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
51,5,1,がんばりや,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
52,5,2,さみしがり,"1.0,1.1,0.9,1.0,1.0,1.0",からい,すっぱい,A↑B↓
53,5,3,いじっぱり,"1.0,1.1,1.0,0.9,1.0,1.0",からい,しぶい,A↑C↓
54,5,4,やんちゃ,"1.0,1.1,1.0,1.0,0.9,1.0",からい,にがい,A↑D↓
55,5,5,ゆうかん,"1.0,1.1,1.0,1.0,1.0,0.9",からい,あまい,A↑S↓
56,5,6,ずぶとい,"1.0,0.9,1.1,1.0,1.0,1.0",すっぱい,からい,B↑A↓
57,5,7,すなお,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
58,5,8,わんぱく,"1.0,1.0,1.1,0.9,1.0,1.0",すっぱい,しぶい,B↑C↓
59,5,9,のうてんき,"1.0,1.0,1.1,1.0,0.9,1.0",すっぱい,にがい,B↑D↓
60,5,10,のんき,"1.0,1.0,1.1,1.0,1.0,0.9",すっぱい,あまい,B↑S↓
61,5,11,ひかえめ,"1.0,0.9,1.0,1.1,1.0,1.0",しぶい,からい,C↑A↓
62,5,12,おっとり,"1.0,1.0,0.9,1.1,1.0,1.0",しぶい,すっぱい,C↑B↓
63,5,13,てれや,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
64,5,14,うっかりや,"1.0,1.0,1.0,1.1,0.9,1.0",しぶい,にがい,C↑D↓
65,5,15,れいせい,"1.0,1.0,1.0,1.1,1.0,0.9",しぶい,あまい,C↑S↓
66,5,16,おだやか,"1.0,0.9,1.0,1.0,1.1,1.0",にがい,からい,D↑A↓
67,5,17,おとなしい,"1.0,1.0,0.9,1.0,1.1,1.0",にがい,すっぱい,D↑B↓
68,5,18,しんちょう,"1.0,1.0,1.0,0.9,1.1,1.0",にがい,しぶい,D↑C↓
69,5,19,きまぐれ,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
70,5,20,なまいき,"1.0,1.0,1.0,1.0,1.1,0.9",にがい,あまい,D↑S↓
71,5,21,おくびょう,"1.0,0.9,1.0,1.0,1.0,1.1",あまい,からい,S↑A↓
72,5,22,せっかち,"1.0,1.0,0.9,1.0,1.0,1.1",あまい,すっぱい,S↑B↓
73,5,23,ようき,"1.0,1.0,1.0,0.9,1.0,1.1",あまい,しぶい,S↑C↓
74,5,24,むじゃき,"1.0,1.0,1.0,1.0,0.9,1.1",あまい,にがい,S↑D↓
75,5,25,まじめ,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
76,6,1,がんばりや,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
77,6,2,さみしがり,"1.0,1.1,0.9,1.0,1.0,1.0",からい,すっぱい,A↑B↓
78,6,3,いじっぱり,"1.0,1.1,1.0,0.9,1.0,1.0",からい,しぶい,A↑C↓
79,6,4,やんちゃ,"1.0,1.1,1.0,1.0,0.9,1.0",からい,にがい,A↑D↓
80,6,5,ゆうかん,"1.0,1.1,1.0,1.0,1.0,0.9",からい,あまい,A↑S↓
81,6,6,ずぶとい,"1.0,0.9,1.1,1.0,1.0,1.0",すっぱい,からい,B↑A↓
82,6,7,すなお,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
83,6,8,わんぱく,"1.0,1.0,1.1,0.9,1.0,1.0",すっぱい,しぶい,B↑C↓
84,6,9,のうてんき,"1.0,1.0,1.1,1.0,0.9,1.0",すっぱい,にがい,B↑D↓
85,6,10,のんき,"1.0,1.0,1.1,1.0,1.0,0.9",すっぱい,あまい,B↑S↓
86,6,11,ひかえめ,"1.0,0.9,1.0,1.1,1.0,1.0",しぶい,からい,C↑A↓
87,6,12,おっとり,"1.0,1.0,0.9,1.1,1.0,1.0",しぶい,すっぱい,C↑B↓
88,6,13,てれや,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
89,6,14,うっかりや,"1.0,1.0,1.0,1.1,0.9,1.0",しぶい,にがい,C↑D↓
90,6,15,れいせい,"1.0,1.0,1.0,1.1,1.0,0.9",しぶい,あまい,C↑S↓
91,6,16,おだやか,"1.0,0.9,1.0,1.0,1.1,1.0",にがい,からい,D↑A↓
92,6,17,おとなしい,"1.0,1.0,0.9,1.0,1.1,1.0",にがい,すっぱい,D↑B↓
93,6,18,しんちょう,"1.0,1.0,1.0,0.9,1.1,1.0",にがい,しぶい,D↑C↓
94,6,19,きまぐれ,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
95,6,20,なまいき,"1.0,1.0,1.0,1.0,1.1,0.9",にがい,あまい,D↑S↓
96,6,21,おくびょう,"1.0,0.9,1.0,1.0,1.0,1.1",あまい,からい,S↑A↓
97,6,22,せっかち,"1.0,1.0,0.9,1.0,1.0,1.1",あまい,すっぱい,S↑B↓
98,6,23,ようき,"1.0,1.0,1.0,0.9,1.0,1.1",あまい,しぶい,S↑C↓
99,6,24,むじゃき,"1.0,1.0,1.0,1.0,0.9,1.1",あまい,にがい,S↑D↓
100,6,25,まじめ,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
101,7,1,がんばりや,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
102,7,2,さみしがり,"1.0,1.1,0.9,1.0,1.0,1.0",からい,すっぱい,A↑B↓
103,7,3,いじっぱり,"1.0,1.1,1.0,0.9,1.0,1.0",からい,しぶい,A↑C↓
104,7,4,やんちゃ,"1.0,1.1,1.0,1.0,0.9,1.0",からい,にがい,A↑D↓
105,7,5,ゆうかん,"1.0,1.1,1.0,1.0,1.0,0.9",からい,あまい,A↑S↓
106,7,6,ずぶとい,"1.0,0.9,1.1,1.0,1.0,1.0",すっぱい,からい,B↑A↓
107,7,7,すなお,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
108,7,8,わんぱく,"1.0,1.0,1.1,0.9,1.0,1.0",すっぱい,しぶい,B↑C↓
109,7,9,のうてんき,"1.0,1.0,1.1,1.0,0.9,1.0",すっぱい,にがい,B↑D↓
110,7,10,のんき,"1.0,1.0,1.1,1.0,1.0,0.9",すっぱい,あまい,B↑S↓
111,7,11,ひかえめ,"1.0,0.9,1.0,1.1,1.0,1.0",しぶい,からい,C↑A↓
112,7,12,おっとり,"1.0,1.0,0.9,1.1,1.0,1.0",しぶい,すっぱい,C↑B↓
113,7,13,てれや,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
114,7,14,うっかりや,"1.0,1.0,1.0,1.1,0.9,1.0",しぶい,にがい,C↑D↓
115,7,15,れいせい,"1.0,1.0,1.0,1.1,1.0,0.9",しぶい,あまい,C↑S↓
116,7,16,おだやか,"1.0,0.9,1.0,1.0,1.1,1.0",にがい,からい,D↑A↓
117,7,17,おとなしい,"1.0,1.0,0.9,1.0,1.1,1.0",にがい,すっぱい,D↑B↓
118,7,18,しんちょう,"1.0,1.0,1.0,0.9,1.1,1.0",にがい,しぶい,D↑C↓
119,7,19,きまぐれ,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
120,7,20,なまいき,"1.0,1.0,1.0,1.0,1.1,0.9",にがい,あまい,D↑S↓
121,7,21,おくびょう,"1.0,0.9,1.0,1.0,1.0,1.1",あまい,からい,S↑A↓
122,7,22,せっかち,"1.0,1.0,0.9,1.0,1.0,1.1",あまい,すっぱい,S↑B↓
123,7,23,ようき,"1.0,1.0,1.0,0.9,1.0,1.1",あまい,しぶい,S↑C↓
124,7,24,むじゃき,"1.0,1.0,1.0,1.0,0.9,1.1",あまい,にがい,S↑D↓
125,7,25,まじめ,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
126,8,1,がんばりや,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
127,8,2,さみしがり,"1.0,1.1,0.9,1.0,1.0,1.0",からい,すっぱい,A↑B↓
128,8,3,いじっぱり,"1.0,1.1,1.0,0.9,1.0,1.0",からい,しぶい,A↑C↓
129,8,4,やんちゃ,"1.0,1.1,1.0,1.0,0.9,1.0",からい,にがい,A↑D↓
130,8,5,ゆうかん,"1.0,1.1,1.0,1.0,1.0,0.9",からい,あまい,A↑S↓
131,8,6,ずぶとい,"1.0,0.9,1.1,1.0,1.0,1.0",すっぱい,からい,B↑A↓
132,8,7,すなお,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
133,8,8,わんぱく,"1.0,1.0,1.1,0.9,1.0,1.0",すっぱい,しぶい,B↑C↓
134,8,9,のうてんき,"1.0,1.0,1.1,1.0,0.9,1.0",すっぱい,にがい,B↑D↓
135,8,10,のんき,"1.0,1.0,1.1,1.0,1.0,0.9",すっぱい,あまい,B↑S↓
136,8,11,ひかえめ,"1.0,0.9,1.0,1.1,1.0,1.0",しぶい,からい,C↑A↓
137,8,12,おっとり,"1.0,1.0,0.9,1.1,1.0,1.0",しぶい,すっぱい,C↑B↓
138,8,13,てれや,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
139,8,14,うっかりや,"1.0,1.0,1.0,1.1,0.9,1.0",しぶい,にがい,C↑D↓
140,8,15,れいせい,"1.0,1.0,1.0,1.1,1.0,0.9",しぶい,あまい,C↑S↓
141,8,16,おだやか,"1.0,0.9,1.0,1.0,1.1,1.0",にがい,からい,D↑A↓
142,8,17,おとなしい,"1.0,1.0,0.9,1.0,1.1,1.0",にがい,すっぱい,D↑B↓
143,8,18,しんちょう,"1.0,1.0,1.0,0.9,1.1,1.0",にがい,しぶい,D↑C↓
144,8,19,きまぐれ,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
145,8,20,なまいき,"1.0,1.0,1.0,1.0,1.1,0.9",にがい,あまい,D↑S↓
146,8,21,おくびょう,"1.0,0.9,1.0,1.0,1.0,1.1",あまい,からい,S↑A↓
147,8,22,せっかち,"1.0,1.0,0.9,1.0,1.0,1.1",あまい,すっぱい,S↑B↓
148,8,23,ようき,"1.0,1.0,1.0,0.9,1.0,1.1",あまい,しぶい,S↑C↓
149,8,24,むじゃき,"1.0,1.0,1.0,1.0,0.9,1.1",あまい,にがい,S↑D↓
150,8,25,まじめ,"1.0,1.0,1.0,1.0,1.0,1.0",なし,なし,補正なし
